,episode name,timestamp,link
117,Ep. 21,Thoughts on iPads + Apple pencil as productivity booster [35:52],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
118,Ep. 21,Overcoming the paradox of choice with productivity apps [38:17],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
119,Ep. 21,YouTube detoxing [43:12],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
120,Ep. 21,Organizing academic research [44:59],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
121,Ep. 21,The false necessity of building a digital presence [47:19],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
122,Ep. 21,WHAT I'M UP TO A closer look at Deep Work HQ [53:08],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
123,Ep. 21,Instilling focus in kids [1:02:22],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
124,Ep. 21,On the value of my hyper-focused fitness [1:05:55],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
125,Ep. 21,Conversing with distracted people [1:12:50],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
126,Ep. 21,Managing multiple projects [1:15:44],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
127,Ep. 21,Unsolicited Sermon: The miseries of a life lived on screens [1:19:53],https://open.spotify.com/episode/4DzbqukVvVI0U1DUaMLAEB
128,Ep. 22, Seeking depth when working from home [2:22],https://open.spotify.com/episode/0m1CnLMd0APYv7Pl16Wr1Q
129,Ep. 22,Feeling guilty about long afternoon naps [11:17],https://open.spotify.com/episode/0m1CnLMd0APYv7Pl16Wr1Q
130,Ep. 22,Rant Alert: Fixing academia's email overload problem [18:15],https://open.spotify.com/episode/0m1CnLMd0APYv7Pl16Wr1Q
131,Ep. 22,Advice for someone returning to school later in life [28:56],https://open.spotify.com/episode/0m1CnLMd0APYv7Pl16Wr1Q
132,Ep. 22,Tackling projects one at a time versus in parallel [36:46],https://open.spotify.com/episode/0m1CnLMd0APYv7Pl16Wr1Q
133,Ep. 23, Email saunas and the struggle for depth [6:08],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
134,Ep. 23,"Saying ""no"" when new to a job [10:24]",https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
135,Ep. 23,Dealing with unexpected free time [14:57],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
136,Ep. 23,Should I become a professor? [17:55],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
137,Ep. 23,Getting others to buy in on Deep Work [25:12],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
138,Ep. 23,Find time for hard thinking in a job that focuses on soft skills [27:07],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
139,Ep. 23,AUDIO QUESTION OF THE DAY [31:51],https://open.spotify.com/episode/1NIhjIeXkQIdXL7qy4XUHh
